city,state,average_price,item_name,highest_price,item_id,lowest_price,data_points
Greeley, CO,80,"1 Pair of Nike Running Shoes (Mid-Range), Clothing And Shoes",100,64,100,11
Greeley, CO,99.26923076923077,"1 Pair of Men Leather Business Shoes, Clothing And Shoes",120,66,120,11
Greeley, CO,21499.5,"Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car), Transportation",26000,206,26000,11
Greeley, CO,1000,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child, Childcare",1500,224,1500,11
Greeley, CO,1184.0301458380693,"Price per Square Meter to Buy Apartment in City Centre, Buy Apartment Price",,100,,1
Greeley, CO,18000,"International Primary School, Yearly for 1 Child, Childcare",18207,228,18207,11
Greeley, CO,2124,"Average Monthly Net Salary (After Tax), Salaries And Financing",3417,105,3417,11
Greeley, CO,4.375,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate, Salaries And Financing",4.54,106,4.54,11
Greeley, CO,2.55,"Taxi Start (Normal Tariff), Transportation",3.25,107,3.25,11
Greeley, CO,1.3980851825340013,"Taxi 1km (Normal Tariff), Transportation",1.8641135767120018,108,1.8641135767120018,11
Greeley, CO,22.499999955,"Taxi 1hour Waiting (Normal Tariff), Transportation",22.5,109,22.5,11
Greeley, CO,4.409245243697551,"Apples (1kg), Markets",5.511556554621939,110,5.511556554621939,11
Greeley, CO,3.7368353440336746,"Oranges (1kg), Markets",5.511556554621939,111,5.511556554621939,11
Greeley, CO,2.2046226218487757,"Potato (1kg), Markets",4.409245243697551,112,4.409245243697551,11
Greeley, CO,1,"Lettuce (1 head), Markets",1.99,113,1.99,11
Greeley, CO,4.171250000000001,"Cappuccino (regular), Restaurants",5,114,5,11
Greeley, CO,4.409245243697551,"Rice (white), (1kg), Markets",6.613867865546327,115,6.613867865546327,11
Greeley, CO,4.409245243697551,"Tomato (1kg), Markets",4.409245243697551,116,4.409245243697551,11
Greeley, CO,1.631420740168094,"Banana (1kg), Markets",2.2046226218487757,118,2.2046226218487757,11
Greeley, CO,2.2046226218487757,"Onion (1kg), Markets",3.3069339327731635,119,3.3069339327731635,11
Greeley, CO,11.63639903859454,"Beef Round (1kg) (or Equivalent Back Leg Red Meat), Markets",13.205689504874167,121,13.205689504874167,11
